"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144554",390.618795724424,-0.536822095649857,0.216505089948082,-2.47948949273473,0.0131570606507455,0.161673961276361
"ENSG00000279017",52.7670027691814,-1.11727149259947,0.450493846033569,-2.48010378484996,0.0131344146421339,0.161673961276361
"ENSG00000033867",434.866385308175,0.570462480811751,0.230668785983719,2.47308051836722,0.0133953958893594,0.163296254651239
"ENSG00000240236",2695.97077472153,0.508271275548786,0.206549244693782,2.46077528050185,0.0138637170945188,0.167674562654967
"ENSG00000114784",327.370396649038,0.501397498844341,0.205230144108307,2.44309870278966,0.0145617541164085,0.174741049396902
"ENSG00000213383",4209.6404217447,0.422708499031648,0.174032926491246,2.42889956259461,0.0151447271326736,0.180327913765788
"ENSG00000070476",506.993824028157,-0.414226437829857,0.171524982349774,-2.41496271945485,0.0157368202989945,0.185452197563514
"ENSG00000161217",1110.54603187932,-0.379815207348552,0.157395830208021,-2.41312115350561,0.0158165611203258,0.185452197563514
"ENSG00000083937",2006.81336207357,0.576636185650016,0.240748873177956,2.3951770907097,0.0166123395951272,0.192953870790153
"ENSG00000154814",247.071383694047,0.432441967921719,0.180705180925914,2.39308007499249,0.0167075942806578,0.192953870790153
"ENSG00000279349",2.30412380255913,2.71473137063996,1.14030394724553,2.38070856213166,0.0172793764621836,0.198068076462045
"ENSG00000157150",44.8648023545998,-0.643845479409672,0.273518858524605,-2.35393450704882,0.0185758836380357,0.20952689829791
"ENSG00000197980",18.9789799660722,0.79561990800753,0.338318158267576,2.35169141402772,0.0186882715278734,0.20952689829791
"ENSG00000239227",28.5988354378079,-1.27680191656909,0.542341497405144,-2.35423975977868,0.018560635069912,0.20952689829791
"ENSG00000090097",138.521081212991,-0.671223621713227,0.285990739232786,-2.3470117372118,0.0189246586214633,0.209696585836941
"ENSG00000213854",361.828306216042,-0.919740332358005,0.392047297995485,-2.34599329484117,0.0189764488485252,0.209696585836941
"ENSG00000131389",1398.39156622012,0.640459181726417,0.275038781641049,2.32861408818439,0.0198795190470213,0.218106723258748
"ENSG00000088727",136.015550252279,0.627752265102032,0.271066974599745,2.31585668460337,0.0205660950266189,0.224039162843168
"ENSG00000163686",130.560095081657,-0.727244598225485,0.314399922193409,-2.31311952354145,0.0207160685801781,0.22408367140249
"ENSG00000161202",1438.64806819965,-0.397589137165556,0.172461815383099,-2.30537488128818,0.0211455870378686,0.22701447581664
"ENSG00000240477",1077.20042220368,0.513617148213612,0.223027384863177,2.3029331063031,0.02128260710781,0.22701447581664
"ENSG00000215160",8.84249526587718,1.29776100515732,0.564560468559065,2.29871037281376,0.021521391123318,0.227978322520114
"ENSG00000226360",14981.7950562413,0.307138835223081,0.134143595559317,2.28962727547636,0.0220429324596228,0.231903727794387
"ENSG00000078081",224.086969089016,-1.11595071741807,0.489847068561052,-2.27816146924433,0.0227169590110334,0.232292396537529
"ENSG00000163900",1101.51691479837,0.358211045987304,0.157075629273868,2.28050046747066,0.0225780230964953,0.232292396537529
"ENSG00000163975",728.869812496966,-1.09911993540367,0.482700333500777,-2.27702336029545,0.0227848306742752,0.232292396537529
"ENSG00000235947",3.58456645773304,-2.4621230540397,1.08273916145663,-2.27397617236579,0.0229674191993806,0.232292396537529
"ENSG00000263740",960.725525308375,1.85435866575721,0.815588054378586,2.27364618179712,0.0229872684073596,0.232292396537529
"ENSG00000279277",12.7007766015759,-1.39583389494535,0.613420023538703,-2.27549450846591,0.0228762817356523,0.232292396537529
"ENSG00000132182",540.110672184644,-1.53091939963505,0.674878158158734,-2.26843820788607,0.0233025112261233,0.233938936230884
"ENSG00000163517",131.417613146228,-0.509400463200207,0.225377764103008,-2.26020728010856,0.0238083892453908,0.236827819475741
"ENSG00000261488",14.1869384026245,-1.22266527080176,0.541300570810659,-2.25875481522342,0.0238986406372004,0.236827819475741
"ENSG00000207650",32.9960243533453,-0.602508277574233,0.267681568705126,-2.25083960949866,0.024395697801357,0.240203793736438
"ENSG00000240057",5.62543579337492,2.4777722819457,1.10428833384061,2.24377294046767,0.0248470142867751,0.243089260792908
"ENSG00000114735",342.203249298219,-0.448285485763293,0.200106331338361,-2.24023639214735,0.0250755802307016,0.243772729331377
"ENSG00000177311",1584.69789077151,-0.783020275168194,0.350793060530245,-2.23214300187299,0.0256055131215346,0.245812925966732
"ENSG00000248243",54.909506203971,0.740363740195629,0.331634290270446,2.23247041067999,0.0255838887365131,0.245812925966732
"ENSG00000175066",583.353487248645,-0.372740166907913,0.167553874367251,-2.22459891372566,0.0261081756348626,0.247544183797216
"ENSG00000176142",524.137277588386,0.423368500077268,0.190178484277393,2.22616402526242,0.0260031966613024,0.247544183797216
"ENSG00000144827",326.288737175767,-0.409435138716364,0.184698137486416,-2.21678000811717,0.0266381283029092,0.251019417627414
"ENSG00000114113",32.1446968447766,-1.32087356495759,0.59688336849513,-2.21295086222253,0.026901033536519,0.251951143366422
"ENSG00000240668",29001.7120844108,-0.656250150148084,0.300732233978135,-2.18217429328111,0.0290966717749041,0.270863562704562
"ENSG00000265992",173.063934414553,-0.439385894905617,0.201849063774417,-2.17680422534269,0.029495177664128,0.272919234289762
"ENSG00000131381",601.365503250094,0.355298807629726,0.163602449999415,2.17172058016854,0.0298767452526658,0.274794495258052
"ENSG00000163870",363.576994809689,-0.701784037479116,0.328545077258341,-2.13603577121106,0.0326764982474943,0.298756555405662
"ENSG00000114541",953.158385724009,1.68185716028455,0.788720848305766,2.13238582940633,0.0329751413588799,0.299703059924494
"ENSG00000197099",5.61155570513753,1.38228312360139,0.649306181789055,2.12886179489735,0.0332656964916342,0.300565351830295
"ENSG00000093183",482.588869835673,0.405877075012091,0.1914390742413,2.12013705467726,0.0339944888499177,0.305354005108033
"ENSG00000114648",832.459338781581,0.54550118268065,0.258254612473023,2.11226114204497,0.0346640568122833,0.309558088742251
"ENSG00000144895",1325.51021968665,0.354946342337537,0.168681135346261,2.10424444683112,0.0353571292329406,0.313922257235819
"ENSG00000144677",867.93876593011,-0.568011687444584,0.27264395106048,-2.08334600945753,0.0372196957534131,0.320041411816702
"ENSG00000144802",733.960790911811,0.739971884610229,0.355388447384127,2.08214951852506,0.0373288146466248,0.320041411816702
"ENSG00000154174",2160.93337545612,0.229317345979061,0.110146193433285,2.08193618709082,0.0373482988571101,0.320041411816702
"ENSG00000163577",231.251649214975,0.647326757344253,0.311520593032783,2.07795815693036,0.0377132132414213,0.320041411816702
"ENSG00000163959",49.3250573546355,-0.580359007533386,0.279289979690437,-2.07798005562767,0.0377111961471508,0.320041411816702
"ENSG00000172215",13.1199035915397,-1.60041913448676,0.769817062951212,-2.07896032903105,0.0376209968959153,0.320041411816702
"ENSG00000229619",58.3746998781677,0.834939537117539,0.400410906327936,2.08520678114028,0.0370505346310178,0.320041411816702
"ENSG00000271270",7.70485820939227,-1.18310425238147,0.565420915880891,-2.09243099990079,0.0363999781253789,0.320041411816702
"ENSG00000173175",7.88534797047499,-1.23614331398586,0.596226998189381,-2.07327631546336,0.0381465715986445,0.32194029656878
"ENSG00000172780",36.5813752288363,-0.98851853721969,0.477308546611989,-2.07102626641896,0.0383563414845214,0.321941751476639
"ENSG00000169981",159.834295257372,0.813282924693385,0.394311831750927,2.06253746199304,0.0391565947673104,0.326872443274939
"ENSG00000206567",29.4771301591168,-0.709075109775014,0.345717775775279,-2.05102300043698,0.0402647069207288,0.33292616926569
"ENSG00000241095",2052.80512813236,0.904820813298968,0.441267529081107,2.05050395433165,0.0403152783095172,0.33292616926569
"ENSG00000114251",9.28121814962754,3.14326920094691,1.5380122191261,2.04372186505314,0.0409810318991046,0.33566305576216
"ENSG00000114378",88.0126771478572,0.903519296418608,0.442319726966815,2.04268369989836,0.0410837594292227,0.33566305576216
"ENSG00000174611",4.50486320257195,-1.87685661250219,0.921746156689245,-2.0361968410517,0.0417305933509059,0.339143869772441
"ENSG00000228168",8545.04952484032,0.412196021849345,0.202757220159757,2.03295360591631,0.0420572104266425,0.339999343238541
"ENSG00000240602",53.2997079183726,1.41686559134207,0.698115561240926,2.02955738276846,0.0424015505716098,0.340988385748653
"ENSG00000114554",1464.57882583305,-0.426267549377912,0.210596369018742,-2.02409733541026,0.0429601377379935,0.341900370806
"ENSG00000153551",178.650936266027,-0.841872999424933,0.415590582490319,-2.02572684486791,0.042792784160248,0.341900370806
"ENSG00000173230",4314.25713141129,0.414783298338586,0.205620875021964,2.01722368069039,0.0436721758931181,0.345687174655999
